2002 02 02 01 10 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 10 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 10 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 10 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 10 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 10 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 11 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 11 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 11 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 11 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 11 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 11 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 12 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 12 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 12 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 12 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 12 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 12 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 13 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 13 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 13 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 13 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 13 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 13 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 14 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 14 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 14 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 14 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 14 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 14 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 15 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 15 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 15 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 15 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 15 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 15 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 16 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 16 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 16 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 16 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 16 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 16 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 17 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 17 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 17 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 17 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 17 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 17 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 18 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 18 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 18 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 18 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 18 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 18 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 19 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 19 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 19 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 19 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 19 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 19 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 20 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 20 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 20 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 20 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 20 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 20 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 21 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 21 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 21 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 21 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 21 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 21 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 22 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 22 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 22 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 22 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 22 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 22 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 23 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 23 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 23 20 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 23 30 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 23 40 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 23 50 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 24 00 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
2002 02 02 01 24 10 000     0.0     0.0     5.0  -400.0     0.0     0.0   5.000   116173.9296875
